1st_cloumn->temp and 1st_row->Humidity
	0	10	20	30	40	50	60	70	80	90	100	
0	0.000111	0.009830	0.019554	0.029281	0.039012	0.048747	0.058486	0.068229	0.077976	0.087727	0.097481	
10	1.814221	1.834109	1.854013	1.873933	1.893869	1.913821	1.933789	1.953774	1.973775	1.993792	2.013826	
20	3.596569	3.635126	3.673743	3.712419	3.751155	3.789952	3.828808	3.867725	3.906701	3.945738	3.984836	
30	5.348766	5.419995	5.491424	5.563053	5.634884	5.706918	5.779154	5.851594	5.924239	5.997088	6.070144	
40	7.072293	7.198307	7.324937	7.452187	7.580061	7.708564	7.837699	7.967471	8.097883	8.228939	8.360645	
50	8.768513	8.982970	9.199186	9.417179	9.636970	9.858578	10.082022	10.307322	10.534499	10.763575	10.994570	
60	10.438683	10.791199	11.148403	11.510377	11.877206	12.248975	12.625773	13.007693	13.394829	13.787277	14.185138	
70	12.083969	12.645703	13.219193	13.804766	14.402761	15.013535	15.637459	16.274923	16.926334	17.592117	18.272721	
80	13.705451	14.576143	15.474775	16.402547	17.360744	18.350739	19.374007	20.432128	21.526802	22.659856	23.833258	
90	15.304133	16.621036	18.001292	19.449046	20.968886	22.565901	24.245748	26.014736	27.879917	29.849204	31.931504	
100	16.880950	18.830352	20.917726	23.156661	25.562935	28.154965	30.954379	33.986747	37.282528	40.878322	44.818529	
