1st_cloumn->temp and 1st_row->Humidity
	0	10	20	30	40	50	60	70	80	90	100	
0	 331.455 	 331.486 	 331.517 	 331.549 	 331.580 	 331.611 	 331.642 	 331.673 	 331.704 	 331.736 	 331.767 	
5	 334.475 	 334.520 	 334.565 	 334.610 	 334.655 	 334.700 	 334.746 	 334.791 	 334.836 	 334.881 	 334.926 	
10	 337.467 	 337.531 	 337.596 	 337.660 	 337.724 	 337.789 	 337.853 	 337.917 	 337.981 	 338.046 	 338.110 	
15	 340.431 	 340.521 	 340.612 	 340.702 	 340.793 	 340.883 	 340.974 	 341.064 	 341.154 	 341.245 	 341.335 	
20	 343.367 	 343.493 	 343.618 	 343.744 	 343.869 	 343.994 	 344.120 	 344.245 	 344.370 	 344.496 	 344.621 	
25	 346.276 	 346.447 	 346.619 	 346.791 	 346.963 	 347.134 	 347.306 	 347.477 	 347.649 	 347.820 	 347.992 	
30	 349.156 	 349.388 	 349.621 	 349.853 	 350.085 	 350.318 	 350.550 	 350.781 	 351.013 	 351.245 	 351.477 	
